id,kode_pohon,nama_lokal,nama_latin,Group,Icon,status_iucn,diameter,tinggi,unit_PS,jenis_lahan,nama_khas_wilayah,Latitude,Longitude,elevasi,jarak_permukiman,status_adopsi,nama_pengadopsi,masa_berlaku,nama_surveyor,waktu_survei,harga_adopsi,serapan_karbon,penyedia_bibit,metode_karbon,Image1,Image2,Image3,Image4,Image5,chart_link
1,TBS0001HDRMJ,Mahang,Macaranga aleuritoides,Pohon Muda,icon/young_tree.svg,Least Concern,34,15,11,Gambut,-,0.7873333,102.3066667,49.01119264,0.09,,,,Riyan,2021-10-11T15:23:00.000+07:00,50000,655.19,-,Approach 5,media/TBS_3_1(FILEminimizer).JPG,media/TBS_2_1.jpg,media/TBS_1_1.jpg,media/TBS_4_1(FILEminimizer).JPG,adopsipohonriau/1,
2,TBS0002HDRMJ,Kelat,Eugenia spp,Pohon Muda,icon/young_tree.svg,-,38,15,11,Gambut,-,0.7872222,102.3067222,49.01119264,0.09,,,,Riyan,2021-10-11T15:33:00.000+07:00,50000,1958.60,-,Approach 5,media/TBS_3_2(FILEminimizer).JPG,media/TBS_2_2.jpg,media/TBS_1_2.jpg,media/TBS_4_2(FILEminimizer).JPG,adopsipohonriau/2,
3,TBS0003HDRMJ,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,40,20,11,Gambut,-,0.7872222,102.3066667,49.01119264,0.09,,,,Riyan,2021-10-11T15:37:00.000+07:00,200000,3349.23,-,Approach 5,media/TBS_3_3(FILEminimizer).JPG,media/TBS_2_3.jpg,media/TBS_1_3.jpg,media/TBS_4_3(FILEminimizer).JPG,adopsipohonriau/3,
4,TBS0004HDRMJ,Mempisang,Xylopia,Pohon Dewasa,icon/mature_tree.svg,-,62,30,11,Gambut,-,0.7871667,102.3067222,49.01119264,0.09,,,,Riyan,2021-10-11T15:44:00.000+07:00,200000,8216.71,-,Approach 5,media/TBS_3_4(FILEminimizer).JPG,media/TBS_2_4.jpg,media/TBS_1_4.jpg,media/TBS_4_4(FILEminimizer).JPG,adopsipohonriau/4,
5,TBS0005HDRMJ,Balam,Palaquium sp,Pohon Dewasa,icon/mature_tree.svg,-,49,20,11,Gambut,-,0.7871944,102.3066667,49.01119264,0.09,,,,Riyan,2021-10-11T15:50:00.000+07:00,200000,3477.90,-,Approach 5,media/TBS_3_5(FILEminimizer).JPG,media/TBS_2_5.jpg,media/TBS_1_5.jpg,media/TBS_4_5(FILEminimizer).JPG,adopsipohonriau/5,
6,TBS0006HDRMJ,Mempisang,Xylopia,Pohon Muda,icon/young_tree.svg,-,36,18,11,Gambut,-,0.7871944,102.3068056,49.01119264,0.09,,,,Riyan sumitran,2021-10-11T15:57:00.000+07:00,50000,1727.14,-,Approach 5,media/TBS_3_6(FILEminimizer).JPG,media/TBS_2_6.jpg,media/TBS_1_6.jpg,media/TBS_4_6(FILEminimizer).JPG,adopsipohonriau/6,
7,TBS0007HDRMJ,Balam,Palaquium sp,Pohon Dewasa,icon/mature_tree.svg,-,44,21,11,Gambut,-,0.7871667,102.3068056,49.01119264,0.09,,,,Riyan,2021-10-11T16:00:00.000+07:00,200000,2956.34,-,Approach 5,media/TBS_3_7(FILEminimizer).JPG,media/TBS_2_7.jpg,media/TBS_1_7.jpg,media/TBS_4_7(FILEminimizer).JPG,adopsipohonriau/7,
8,TBS0008HDRMJ,Podol,-,Pohon Dewasa,icon/mature_tree.svg,-,54,19,11,Gambut,-,0.7871667,102.3068889,49.01119264,0.09,,,,Riyan,2021-10-11T16:04:00.000+07:00,200000,2849.96,-,Approach 5,media/TBS_3_8(FILEminimizer).JPG,media/TBS_2_8.jpg,media/TBS_1_8.jpg,media/TBS_4_8(FILEminimizer).JPG,adopsipohonriau/8,
9,TBS0009HDRMJ,Kempas,Koompassia malaccensis,Pohon Dewasa,icon/mature_tree.svg,Conservation dependent,65,22,11,Gambut,-,0.7871111,102.3069444,49.01119264,0.09,,,,Riyan,2021-10-11T16:08:00.000+07:00,200000,9482.67,-,Approach 5,media/TBS_3_9(FILEminimizer).JPG,media/TBS_2_9.jpg,media/TBS_1_9.jpg,media/TBS_4_9(FILEminimizer).JPG,adopsipohonriau/9,
10,TBS0010HDRMJ,Suntai,Palaquium Walsurifolium,Pohon Dewasa,icon/mature_tree.svg,-,74,18,11,Gambut,-,0.7871111,102.3070278,49.01119264,0.09,,,,Riyan,2021-10-11T16:12:00.000+07:00,200000,7398.84,-,Approach 5,media/TBS_3_10(FILEminimizer).JPG,media/TBS_2_10.jpg,media/TBS_1_10.jpg,media/TBS_4_10(FILEminimizer).JPG,adopsipohonriau/10,
